Date,number_of_Likes,number_of_Comments
2021-10-19,56,0
2021-10-16,45,0
2021-10-15,14,0
2021-10-11,16,0
2021-10-10,13,0
2021-10-10,14,0
2021-10-09,25,0
2021-10-09,23,0
2021-10-09,28,0
2021-10-09,24,0
2021-10-08,0,0
2021-10-06,18,0
2021-09-29,21,0
2021-09-27,40,0
2021-09-21,12,0
2021-09-18,45,0
2021-09-17,21,0
2021-09-16,60,0
2021-03-18,429,0
2021-08-15,367,0
2021-09-10,101,0
2019-10-23,277,0
2021-09-25,31,0
2020-12-31,2984,0
2021-08-22,454,0
2021-08-16,120,0
2020-02-22,241,0
2021-11-07,8,0
2021-11-07,68,0
2021-11-04,2,0
2021-11-03,10,0
2021-10-29,6,0
2021-10-24,0,0
2021-10-23,0,0
2021-10-20,314,0
2021-10-20,3,0
2021-10-20,266,0
2021-10-20,52,0
2021-10-19,13,0
2021-10-19,56,0
2021-10-16,45,0
2021-10-15,14,0
2021-10-10,13,0
2021-10-10,14,0
2021-10-09,25,0
2021-10-09,23,0
2021-10-09,28,0
2021-10-09,24,0
2021-10-08,0,0
2021-10-06,18,0
2021-09-29,21,0
2021-09-27,40,0
2021-09-21,12,0
2021-09-18,45,0
2021-09-17,21,0
2021-09-16,15,0
2021-09-14,83,0
2021-09-08,29,0
2021-09-08,4,0
2021-09-05,5,0
2021-09-03,9,0
2021-09-02,79,0
2021-09-01,90,0
2021-08-28,68,0
2021-08-24,110,0
2021-08-23,27,0
2021-08-23,18,0
2021-08-23,11,0
2021-08-23,14,0
2021-03-18,429,0
2021-08-15,367,0
2021-09-10,101,0
2019-10-23,277,0
2021-09-25,31,0
2020-12-31,2984,0
2021-08-22,454,0
2021-08-16,120,0
2020-02-22,241,0
2021-10-11,16,0
2021-10-10,13,0
2021-10-10,14,0
2021-10-09,25,0
2021-10-09,23,0
2021-10-09,28,0
2021-10-09,24,0
2021-10-08,0,0
2021-10-06,18,0
2021-09-29,21,0
2021-09-27,40,0
2021-09-21,12,0
2021-09-18,45,0
2021-09-17,21,0
2021-09-16,60,0
2021-09-16,15,0
2021-09-14,83,0
2021-09-08,29,0
2021-09-08,4,0
2021-09-05,5,0
2021-09-03,9,0
2021-09-02,79,0
2021-08-28,68,0
2021-08-26,102,0
2021-08-24,110,0
2021-08-23,27,0
2021-08-23,18,0
2021-08-23,11,0
2021-08-23,14,0
2021-08-23,10,0
2021-08-23,123,0
2021-08-23,158,0
2021-08-21,5,0
2021-08-20,811,0
2021-08-20,0,0
2021-08-19,180,0
2021-08-17,16,0
2021-08-16,6,0
2021-08-16,12,0
2021-08-16,0,0
2021-03-18,429,0
2021-08-15,367,0
2021-09-10,101,0
2019-10-23,277,0
2021-09-25,31,0
2020-12-31,2984,0
2021-08-22,454,0
2021-08-16,120,0
2020-02-22,241,0
2021-09-18,45,0
2021-09-17,21,0
2021-09-16,60,0
2021-09-16,15,0
2021-09-14,83,0
2021-09-08,29,0
2021-09-08,4,0
2021-09-05,5,0
2021-09-03,9,0
2021-09-02,79,0
2021-09-01,90,0
2021-08-28,68,0
