product_name,product_link,product_price(₹),product_ratings(out of 5),product_description,sub-category,Category,product_ids,comment_ids
Red Beryl Anniversary Surprise,https://www.bookthesurprise.com/red-beryl-anniversary-surprise/,9900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Music and Madness, Special Dedications, Balloon Surprise Box, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,4778,comment-10525
Plutonium Anniversary Surprise,https://www.bookthesurprise.com/plutonium-anniversary-surprise/,11900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Music and Madness, Special Dedications, Balloon Surprise Box, Special Love Coupons, Pencil Art Frame, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,16561,comment-10527
Painite Anniversary Surprise,https://www.bookthesurprise.com/painite-anniversary-surprise/,13900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Music and Madness, Special Dedications, Love Coupons, Love Hamper, Balloon Surprise Box, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,4835,comment-10528
Taaffeite Anniversary Surprise,https://www.bookthesurprise.com/taaffeite-anniversary-surprise/,15900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Live Performance by Guitarist, Special Dedications, Love Coupons, Balloon Surprise Box, Love Contract, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,16771,comment-10529
Tritium Anniversary Surprise,https://www.bookthesurprise.com/tritium-anniversary-surprise/,20900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Live Performance by Guitarist, Special Video Dedications, Tree Dedications, Love Coupons, Balloon Surprise Box, Love Contract, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,16837,comment-10530
Diamond Anniversary Surprise,https://www.bookthesurprise.com/diamond-anniversary-surprise/,25900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Live Performance by Guitarist, Wishes on Big Screen, Love Hamper, Star Dedications, A Lightning Night Sky, Love Coupons, Balloon Surprise Box, Love Contract, Lovely Presents, & Paparazzi! ",anniversary-surprises,Surprise-Gifts,16903,comment-10532
Californium Anniversary Surprise,https://www.bookthesurprise.com/californium-anniversary-surprise/,30900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Live Performance by Guitarist, Wishes on Big Screen, A Lightning Night Sky, Love Coupons, Balloon Surprise Box, Love Contract, Lovely Presents, & Paparazzi!",anniversary-surprises,Surprise-Gifts,16969,comment-10531
Antimatter Anniversary Surprise,https://www.bookthesurprise.com/antimatter-anniversary-surprise/,49900.0,5.0,"An Anniversary Surprise With Celebratory Elements, Sweet Treats, Memories, Special Card Wishes, Live Performance by Guitarist, Wishes on Big Screen, A Lightning Night Sky, Helping Hands, Love Coupons, Balloon Surprise Box, Love Contract, Lovely Presents, & Paparazzi!",anniversary-surprises,Surprise-Gifts,17035,comment-10533
The Magic Mirror!,https://www.bookthesurprise.com/surprise/the-magic-mirror/,299.0,5.0,"I wanted to bring this many gifts for your birthday!! But, I also wanted you to smile a little while reading this. So, here’s a card with lots and lots of love!!’",birthday-gifts,Surprise-Gifts,18540,comment-13471
Comical Love Cards,https://www.bookthesurprise.com/surprise/comical-love-cards/,399.0,5.0,"They contain the cutest representation of your thoughts for your partner. So, give them the joy of sweet somethings, which do not need a special occasion to reach the one you love. ",birthday-gifts,Surprise-Gifts,17375,comment-10368
