ReviewDate,Comment_id,ReviewDesc,ReviewerName,Rating,product_name,Product_ids
2019-01-22,10404,"Nice experience. Beautifully arranged Photos. Great service.
",Lavan,5,The Love Grill,17229
2018-12-13,10047,"I received only 1 of 2 orders with the same tracking, I am in the awaited to solve this problem. ",Nagaraj,3,BTS Charm,15827
2018-12-06,9878,"Tasty cake with perfect on-time delivery service.
",Aparna,5,BTS Chocolate Delight,5982
2018-12-06,9916,"Thanks for delivering those fresh and pretty flowers to us.
",Praveen,5,BTS Memorable Expression,17675
2019-02-18,10491,"The taste of this cake was more beautiful than how it looks. Nice service.
",Sravanya,5,BTS Mixed Fresh Fruit Cake,6362
2019-05-22,12124,"great work BTS team. very nice idea. I surprised my daughter on her birthday
",Raj veer,5,Pop Me Balloon Surprise,31423
2019-11-26,17447,"Amazing and delicious taste.
",Priyanka,5,BTS Chocolate Delight,6032
2019-06-13,12861,"the taste was simply super. I love the flavour
",harika,5,BTS Blueberry Cake,6524
2019-11-26,17460,"Really happy with the quality and the delivery time of the flowers.
",Priyanka,5,BTS Beautiful Carnation Bunch,15848
2019-04-10,10986,"I bought three units of a product and the company, although it has issued a note of the three, sent only one unit ",charitha ,1,Gift YourSelf,17974
2018-12-13,10067,"Really beautiful. I’ll be ordering again.
",Akanksha,5,BTS Wonderful Twenty,15817
2019-02-20,10505,"Your services are good. We are happy with your service.
",Thabitha,5,BTS Pretty In Pink,15833
2018-12-31,10237,"It looks beautiful. It’s a different concept from Bookthesurprise. Really it’s the best experience.
",Vasu,5,Photo Easels,17255
2019-11-26,17441,"It was a very tasty cake. Loved the surprise.
",Priyanka,5,BTS Pineapple Awe,6032
2019-11-27,17917,"Great and innovative Surprise gift
",Priyanka,5,Celebrate Green Diwali,19070
2019-01-05,10298,"It looks beautiful and coming to design it was simply super. Thank you.
",Sahana,5,My Majes-tea Mug,17364
2019-05-10,11911,The towels are rough and thin. Beautiful misleading advertisement ,kriti,1,Invite Pikachu At Home,17977
2019-04-30,11519,"super thought fantastic.
",raghava,5,Gift YourSelf,18896
2019-03-22,10744,Good.,kavya,4,BTS Desirable Yellow Roses,15879
2019-04-22,11131,"They sent the clock, when I arrived, I watched it was stopped.  Conclusion :  They sent a broken product. ",praveen,1,BTS Vanilla Chocolate Cake,5982
2019-01-11,10340,"The product is good, but the seller needs to be aware of the product quality.  My product came with a holinho, which seems to be pin, but for me, it was hidden.  Overall, the product is B ",Navya,3,All About You – Personalized Cushion,17309
2019-05-27,12299,"i loved it excellent . the design and light an the quality was really very good 
",geethika ,5,Lovers Lamp,17314
2019-11-26,17466,"The flowers were so pretty. My friend loved it for whom i ordered.
",Priyanka,5,BTS Memorable Expression,15868
2019-03-10,10619,You pay an expensive freight and do not deliver in your home. ,pravallika,1,BTS Perfect Charm Bouquet,17141
2019-01-18,10369,"A product dearly beautiful my one-year-old loves it with white noise and falls asleep, my son of 4 is terrified when he sees him breathing",Meghana,4,Magnet Mémoire – Moments in Magnets,18569
